Brand Name,Product,Price,Processor,Memory,Storage,Graphics,Display,OS,Image
Acer,Aspire Go 15 Laptop  AG1531PC6FC,$549.99,Intel N100 processor Quad core,8 GB LPDDR5,512 GB SSD,Intel Iris Xe   shared memory,14   16:10 60 Hz Touchscreen,Windows 11 Home,https://multimedia.bbycastatic.ca/multimedia/products/500x500/177/17739/17739396.jpg
Acer,Aspire 3 Laptop  A3155932X9,$749.99,Intel Core i3 1215U processor Hexa core 1.20 GHz,8 GB DDR4 SDRAM,256 GB SSD,Intel Iris Xe   shared memory,15.6  Full HD (1920 x 1080) 16:9 60 Hz,Windows 11 Home,https://multimedia.bbycastatic.ca/multimedia/products/500x500/177/17739/17739396.jpg
Acer,Aspire 15 Laptop  A1541MR2S6,$849.99,AMD Ryzen 5 7535U processor Hexa core 2.90 GHz,8 GB DDR5 SDRAM,512 GB SSD,Intel Iris Xe   shared memory,15.6  Full HD (1920 x 1080) 16:9 60 Hz,Windows 11 Home,https://multimedia.bbycastatic.ca/multimedia/products/500x500/177/17739/17739396.jpg
Acer,Aspire 5 Laptop  A51545R8EA,$999.99,AMD Ryzen 7 5700U processor Octa core 1.80 GHz,8 GB DDR4 SDRAM,512 GB SSD,AMD Radeon   shared memory,15.6  Full HD (1920 x 1080) 16:9 60 Hz,Windows 11 Home,https://multimedia.bbycastatic.ca/multimedia/products/500x500/177/17739/17739396.jpg
Apple,MacBook Air M1,$1199.00,M1,8 GB,256 GB,Integrated,14.2 Liquid Retina XDR,macOS,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/mbp14-silver-select-202410?wid=904&hei=840&fmt=jpeg&qlt=90&.v=TmFyblM0VWE4L3UyTlNOSEdPY3VqV2d4R2cxNzZhWDBDYmdmTDE5MDg3NXBXalhMVU5sWTJOK1MxYmlTTi9sTmdsbGZlRHV0Q3JlbHJxWXRlWjZpMmtsT0w0bW9TRXVmSzM3RnZrKzhDMTA
Apple,MacBook Air M2,$1449.00,M2,8 GB,256 GB,Integrated,16.2 Liquid Retina XDR,macOS,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/mba13-skyblue-select-202503?wid=904&hei=840&fmt=jpeg&qlt=90&.v=M2RyY09CWXlTQUp1KzEveHR6VXNxcTQ1bzN1SitYTU83Mm9wbk1xa1lWNC9UNzNvY2N5NXJTTDQ2YkVYYmVXakJkRlpCNVhYU3AwTldRQldlSnpRa0lIV0Fmdk9rUlVsZ3hnNXZ3K3lEVlk
Apple,MacBook Air M3,$1299.00,M3,8 GB,256 GB,Integrated,13.6 Liquid Retina,macOS,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/mba13-starlight-select-202503?wid=904&hei=840&fmt=jpeg&qlt=90&.v=U3RnbTBEaGs0WGRSa05FY2NWZjZNVjVIeG1GZXZCc2xNMHRiT3dJVEsvMmxLeXRZUkZPU04xN0huck9BdWxkVXVUb3VPa2FUZVhQMFhDQnVBMWhwQXpJbUhxSE4yZ0tBY2hHU29QRjN6VXc
Apple,MacBook Air M3 (15),$1549.00,M3,8 GB,256 GB,Integrated,13.6 Liquid Retina,macOS,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/mba13-starlight-select-202503?wid=904&hei=840&fmt=jpeg&qlt=90&.v=U3RnbTBEaGs0WGRSa05FY2NWZjZNVjVIeG1GZXZCc2xNMHRiT3dJVEsvMmxLeXRZUkZPU04xN0huck9BdWxkVXVUb3VPa2FUZVhQMFhDQnVBMWhwQXpJbUhxSE4yZ0tBY2hHU29QRjN6VXc
Apple,MacBook Air M4 (13),$1399.00,M4,8 GB,256 GB,Integrated,13.6 Liquid Retina,macOS,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/mba13-skyblue-select-202503?wid=904&hei=840&fmt=jpeg&qlt=90&.v=M2RyY09CWXlTQUp1KzEveHR6VXNxcTQ1bzN1SitYTU83Mm9wbk1xa1lWNC9UNzNvY2N5NXJTTDQ2YkVYYmVXakJkRlpCNVhYU3AwTldRQldlSnpRa0lIV0Fmdk9rUlVsZ3hnNXZ3K3lEVlk
Apple,MacBook Air M4 (15),$1649.00,M4,8 GB,256 GB,Integrated,15.3 Liquid Retina,macOS,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/mba13-skyblue-select-202503?wid=904&hei=840&fmt=jpeg&qlt=90&.v=M2RyY09CWXlTQUp1KzEveHR6VXNxcTQ1bzN1SitYTU83Mm9wbk1xa1lWNC9UNzNvY2N5NXJTTDQ2YkVYYmVXakJkRlpCNVhYU3AwTldRQldlSnpRa0lIV0Fmdk9rUlVsZ3hnNXZ3K3lEVlk
Apple,MacBook Pro 14 M3,$2199.00,M3,8 GB,512 GB,Integrated,14.2 Liquid Retina XDR,macOS,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/mbp14-silver-select-202410?wid=904&hei=840&fmt=jpeg&qlt=90&.v=TmFyblM0VWE4L3UyTlNOSEdPY3VqV2d4R2cxNzZhWDBDYmdmTDE5MDg3NXBXalhMVU5sWTJOK1MxYmlTTi9sTmdsbGZlRHV0Q3JlbHJxWXRlWjZpMmtsT0w0bW9TRXVmSzM3RnZrKzhDMTA
Apple,MacBook Pro 14 M3 Pro,$2799.00,M3 Pro,18 GB,512 GB,Integrated,14.2 Liquid Retina XDR,macOS,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/mbp14-silver-select-202410?wid=904&hei=840&fmt=jpeg&qlt=90&.v=TmFyblM0VWE4L3UyTlNOSEdPY3VqV2d4R2cxNzZhWDBDYmdmTDE5MDg3NXBXalhMVU5sWTJOK1MxYmlTTi9sTmdsbGZlRHV0Q3JlbHJxWXRlWjZpMmtsT0w0bW9TRXVmSzM3RnZrKzhDMTA
Apple,MacBook Pro 14 M4,$2299.00,M4,16 GB,512 GB,Integrated,14.2 Liquid Retina XDR,macOS,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/mbp14-spaceblack-select-202410?wid=904&hei=840&fmt=jpeg&qlt=90&.v=YnlWZDdpMFo0bUpJZnBpZjhKM2M3VGhTSEZFNjlmT2xUUDNBTjljV1BxWVk4UDMvOWNCVUEyZk1VN2FtQlpZWXZvdUZlR0V0VUdJSjBWaDVNVG95Yk15Y0c3T3Y4UWZwZExHUFdTUC9lN28
Apple,MacBook Pro 14 M4 Pro,$2999.00,M4 Pro,18 GB,512 GB,Integrated,14.2 Liquid Retina XDR,macOS,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/mbp14-spaceblack-select-202410?wid=904&hei=840&fmt=jpeg&qlt=90&.v=YnlWZDdpMFo0bUpJZnBpZjhKM2M3VGhTSEZFNjlmT2xUUDNBTjljV1BxWVk4UDMvOWNCVUEyZk1VN2FtQlpZWXZvdUZlR0V0VUdJSjBWaDVNVG95Yk15Y0c3T3Y4UWZwZExHUFdTUC9lN28
Apple,MacBook Pro 16 M4 Pro,$3499.00,M4 Pro,18 GB,512 GB,Integrated,16.2 Liquid Retina XDR,macOS,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/mbp14-spaceblack-select-202410?wid=904&hei=840&fmt=jpeg&qlt=90&.v=YnlWZDdpMFo0bUpJZnBpZjhKM2M3VGhTSEZFNjlmT2xUUDNBTjljV1BxWVk4UDMvOWNCVUEyZk1VN2FtQlpZWXZvdUZlR0V0VUdJSjBWaDVNVG95Yk15Y0c3T3Y4UWZwZExHUFdTUC9lN28
Apple,MacBook Pro 16 M4 Max,$4699.00,M4 Max,36 GB,1 TB,Integrated,16.2 Liquid Retina XDR,macOS,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/mbp14-spaceblack-select-202410?wid=904&hei=840&fmt=jpeg&qlt=90&.v=YnlWZDdpMFo0bUpJZnBpZjhKM2M3VGhTSEZFNjlmT2xUUDNBTjljV1BxWVk4UDMvOWNCVUEyZk1VN2FtQlpZWXZvdUZlR0V0VUdJSjBWaDVNVG95Yk15Y0c3T3Y4UWZwZExHUFdTUC9lN28
Apple,iMac 24 M1,$1599.00,M1,8 GB,256 GB,Integrated,23.5 4.5K Retina,macOS,https://www.apple.com/v/imac/u/images/overview/closer-look/colors_pf_blue__bshbmf5v5rki_xlarge_2x.jpg
Apple,iMac 24 M4,$1699.00,M4,8 GB,256 GB,Integrated,23.5 4.5K Retina,macOS,https://www.apple.com/v/imac/u/images/overview/closer-look/colors_pf_blue__bshbmf5v5rki_xlarge_2x.jpg
Apple,iMac 24 M4 (Upgraded),$1899.00,M4,8 GB,512 GB,Integrated,13.6 Liquid Retina,macOS,https://www.apple.com/v/imac/u/images/overview/closer-look/colors_pf_blue__bshbmf5v5rki_xlarge_2x.jpg
Apple,iPad (10th Gen),$599.00,A14 Bionic,4 GB,64 GB,Integrated,10.9 Liquid Retina,iPadOS,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/ipad-finish-select-202503-yellow?wid=5120&hei=2880&fmt=webp&qlt=90&.v=aHYyeWZ6TVBzTWw5WlZ2bFJCZno2dmxLd2s1MTdYS3kySi9lc3JWNEpTZndxcTNXQmUwRHdjNkNCR2VPV0wzMEYwY01kSHJsa3czQ3FiclhQaFVwUzA1WnJPbWM5eUE0czhzbDYraWFNR3BnUXA1SWNaRk1iSitUcnNLY0t2MnM&traceId=1
Apple,iPad Air M2 (11),$899.00,M2,8 GB,128 GB,Integrated,11 Liquid Retina,iPadOS,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/ipad-air-storage-select-202405-11inch-blue?wid=5120&hei=2880&fmt=webp&qlt=90&.v=TENLTVRoeFdHUUI5ZE1ZZmxpQUlNMm5pQUoxb0NIVEJFSjRVRzZ4dzV5UzAyQmZBS3AzWnJlSVYydGZEQVpFWWd2S3NaRzcrU0dmYjNHTUFiMnlsWFUxSlgrVWMrMzU1OXo2c2JyNjJZTGdReWZYb3NtakxSL1FYSllRUnQvNG4&traceId=1
Apple,iPad Air M2 (13),$1199.00,M2,8 GB,128 GB,Integrated,13 Liquid Retina,iPadOS,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/ipad-air-storage-select-202405-11inch-blue?wid=5120&hei=2880&fmt=webp&qlt=90&.v=TENLTVRoeFdHUUI5ZE1ZZmxpQUlNMm5pQUoxb0NIVEJFSjRVRzZ4dzV5UzAyQmZBS3AzWnJlSVYydGZEQVpFWWd2S3NaRzcrU0dmYjNHTUFiMnlsWFUxSlgrVWMrMzU1OXo2c2JyNjJZTGdReWZYb3NtakxSL1FYSllRUnQvNG4&traceId=1
Apple,iPad Pro 11 M4,$1199.00,M4,8 GB,256 GB,Integrated,11 Ultra Retina XDR OLED,iPadOS,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/ipad-pro-storage-select-202405-13inch-spaceblack?wid=5120&hei=2880&fmt=webp&qlt=90&.v=czlRMVFIQnlSdTl0T3ZTQUtJUW9rMm5pQUoxb0NIVEJFSjRVRzZ4dzV5U2NwV2FpZUdscFJrdzhxcjBnRkVONDhLcXQxZ1h0QThIT2dnUm5qbGk5OUJkSERIUjY1Wk1Od3FtNjF6NFZLVXZJV1dGRXZGakVuOTg4b2FIVGtPNjJ2d3FYVjZtcVBNOTFvLzEvcUtBMCtR&traceId=1
Apple,iPad Pro 13 M4,$1549.00,M4,8 GB,256 GB,Integrated,13 Ultra Retina XDR OLED,iPadOS,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/ipad-pro-storage-select-202405-13inch-spaceblack?wid=5120&hei=2880&fmt=webp&qlt=90&.v=czlRMVFIQnlSdTl0T3ZTQUtJUW9rMm5pQUoxb0NIVEJFSjRVRzZ4dzV5U2NwV2FpZUdscFJrdzhxcjBnRkVONDhLcXQxZ1h0QThIT2dnUm5qbGk5OUJkSERIUjY1Wk1Od3FtNjF6NFZLVXZJV1dGRXZGakVuOTg4b2FIVGtPNjJ2d3FYVjZtcVBNOTFvLzEvcUtBMCtR&traceId=1
Asus,Vivobook S 16 Flip Laptop (TP3604),$949.99,Up to 13th Gen Intel CoreTM i9 processor,Up to 16 GB memory,Up to 1 TB SSD storage,Intel Iris Xe Graphics shared memory,15.6  Full HD (1920 x 1080) 16:9,Windows 11 Home,https://dlcdnwebimgs.asus.com/gain/dd08062b-93d2-432c-b2a4-e6b163501519/w185
Asus,ROG Strix SCAR 18 (2025) G835LWXS97,$5299.00,Intel CoreTM Ultra 9 Processor 275HX,2 TB SSD,NVIDIA GeForce RTXTM 5080,AMD Radeon 780M Graphic shared memory,14   16:10 IPS 60 Hz Touchscreen,Windows 11 Home,https://dlcdnwebimgs.asus.com/gain/e7bccfbd-9a96-4922-ad06-1814a770579a/w185
Asus,ROG Strix SCAR 16 (2025) G635LXXS97,$5999.00,Intel CoreTM Ultra 9 Processor 275HX,2 TB SSD,NVIDIA GeForce RTXTM 5090,NVIDIA GeForce RTX 3050 (6 GB dedicated),14.5  WQXGA (2560 x 1600) 16:10 120 Hz,Windows 11 Home,https://dlcdnwebimgs.asus.com/gain/46e5809c-669e-4d0c-9d7d-363e4ea6afeb/w185
Asus,ROG Strix SCAR 16 (2025) G635LXXS99CA,$6699.00,Intel CoreTM Ultra 9 Processor 275HX,2TB + 2 TB SSD (RAID 0),NVIDIA GeForce RTXTM 5090,Intel Iris Xe Graphics eligible shared memory,14  Full HD (1920 x 1080) 16:9,Windows 11 Home,https://dlcdnwebimgs.asus.com/gain/fb60d91c-aa39-49f1-a0f5-508ff1490186/w185
Asus,TUF Gaming F16 (2025),$2099.00,Up to Intel CoreTM Ultra 9 Processor 275HX,Up to 8 GB memory,Up to 2TB SSD,Intel ARC Graphics shared memory,16  WQXGA+ (3200 x 2000) 16:10 CineCrystal (Glare) 120 Hz,Windows 11 Home,https://dlcdnwebimgs.asus.com/gain/99c0e8a5-d78b-4b1e-927d-7f4fb82ed013/w185
Asus,TUF Gaming A18 (2025),$2199.00,AMD RyzenTM 7 260 Processor,Up to 8 GB memory,Up to 2TB SSD,NVIDIA GeForce RTX 4050 (6 GB dedicated),16   IPS with NVIDIA G-SYNC & Advanced Optimus,Windows 11 Home,https://dlcdnwebimgs.asus.com/gain/ce034ba0-fdec-4a0f-bcd0-64b6e552701e/w185
Asus,ROG Strix SCAR 16 Gaming Laptop (2024) G634JZRXS96,$3999.00,Intel CoreTM i9 14900HX Processor,1TB  Performance SSD storage,NVIDIA GeForce RTXTM 4080,NVIDIA GeForce RTX 2050 (4 GB dedicated),14   16:10 IPS 60 Hz,Windows 11 Home,https://dlcdnwebimgs.asus.com/gain/3c2b1ef6-cbcb-4d15-b379-cc1b1c97f808/w185
